de,en,cat,ex,pos,tr
meistens,"mostly, usually",Goethe A2,Meistens trinke ich zum Frühstück nur einen Kaffee.,,çoğunlukla
die Menge,"quantity, lots of",Goethe A2,Ich kenne eine Menge Leute in dieser Stadt.,,"miktar, çok sayıda"
der Mensch,"human, person",Goethe A2,Die Menschen sind hier ein bisschen anders.,,insan
merken,to notice,Goethe A2,"Merkst du, dass es wärmer wird?",,fark etmek
die Messe,trade fair,Goethe A2,Kommst du mit zur Buchmesse nach Frankfurt?,,fuar
das Messer,knife,Goethe A2,Das Messer schneidet nicht gut.,,bıçak
die Miete,rent,Goethe A2,Wie viel Miete bezahlst du für deine Wohnung?,,kira
mieten,to rent,Goethe A2,Ich möchte ein Auto mieten.,,kiralamak
die Milch,milk,Goethe A2,Die Milch steht im Kühlschrank.,,süt
mindestens,at least,Goethe A2,Ich warte schon mindestens 20 Minuten.,,en az
das Mineralwasser,mineral water,Goethe A2,"Ein Glas Mineralwasser, bitte.",,maden suyu
mitbringen,to bring along,Goethe A2,Soll ich dir was mitbringen?,,yanında getirmek
mitkommen,to come along,Goethe A2,Ich gehe ins Kino. Kommst du mit?,,birlikte gelmek
mitmachen,to join in,Goethe A2,Möchtest du auch mitmachen?,,katılmak
mitnehmen,to take along,Goethe A2,Ich muss mein Zelt mitnehmen.,,yanında götürmek
der Mitarbeiter,"employee, colleague",Goethe A2,Unsere Firma hat sieben Mitarbeiter.,,çalışan
das Mittagessen,lunch,Goethe A2,Um zwölf Uhr gibt es Mittagessen.,,öğle yemeği
die Mitte,middle,Goethe A2,Den Tisch stellen wir in die Mitte.,,orta
das Mittel,"remedy, agent",Goethe A2,Haben Sie ein Mittel gegen Magenschmerzen?,,"ilaç, çare"
die Möbel,furniture,Goethe A2,Eure Möbel sind sehr schön.,,mobilya
das Mobiltelefon,mobile phone,Goethe A2,Haben Sie ein Mobiltelefon?,,cep telefonu
möchten,would like,Goethe A2,Was möchten Sie trinken?,,istemek (nazik)
die Mode,fashion,Goethe A2,Wie findest du die neue Mode?,,moda
modern,modern,Goethe A2,Das Stadtzentrum von Frankfurt ist sehr modern.,,modern
mögen,to like,Goethe A2,Magst du Schokolade?,,hoşlanmak
möglich,possible,Goethe A2,Das ist leider nicht möglich.,,mümkün
offen,open,Goethe A2,Ist das Fenster im Bad noch offen?,,açık
öffnen,to open,Goethe A2,Ich öffne die Tür.,,açmak
oft,often,Goethe A2,Ich gehe nicht oft ins Kino.,,sık sık
ohne,without,Goethe A2,Bitte einen Kaffee ohne Milch und Zucker.,,-siz
das Ohr,ear,Goethe A2,Ich habe Ohrenschmerzen.,,kulak
das Öl,oil,Goethe A2,Machen wir den Salat mit Öl?,,yağ
online,online,Goethe A2,Sie können das Geld auch online überweisen.,,çevrimiçi
die Orange,orange (fruit),Goethe A2,Ich esse gern Orangen.,,portakal
die Ordnung,order,Goethe A2,Das ist alles in Ordnung.,,düzen
organisieren,to organize,Goethe A2,Frau Gomez organisiert unseren Ausflug.,,organize etmek
der Ort,place,Goethe A2,Der Ort liegt in den Bergen.,,yer
das Paar,pair,Goethe A2,Ich brauche ein Paar Schuhe.,,çift
ein paar,a few,Goethe A2,Wir fahren ein paar Tage ans Meer.,,birkaç
packen,to pack,Goethe A2,Ich muss noch meinen Koffer packen.,,"paketlemek, hazırlamak"
das Paket,"package, parcel",Goethe A2,Bringst du bitte das Paket zur Post?,,paket
das Papier,paper,Goethe A2,Hier sind Papier und Bleistift.,,kağıt
die Papiere,"documents, papers",Goethe A2,Haben Sie Ihre Papiere dabei?,,evraklar
das Parfüm,perfume,Goethe A2,Ich suche ein Parfum als Geschenk.,,parfüm
der Park,park,Goethe A2,Ich gehe gern im Park spazieren.,,park
parken,to park,Goethe A2,Darf ich hier parken?,,park etmek
der Partner,partner,Goethe A2,Veronika ist meine Partnerin.,,partner
die Party,party,Goethe A2,Heute Abend machen wir eine Party.,,parti
der Pass,passport,Goethe A2,Am Flughafen brauchst du deinen Pass.,,pasaport
passen,"to fit, suit",Goethe A2,Die Bluse passt mir nicht.,,uymak
passieren,to happen,Goethe A2,Was ist passiert?,,olmak (gerçekleşmek)
nein,no,Goethe A2,"Möchten Sie ein Stück Kuchen? – Nein, danke.",,hayır
nennen,"to name, call",Goethe A2,Alle nennen ihn Alex.,,isimlendirmek
nervös,nervous,Goethe A2,Bei Prüfungen bin ich immer sehr nervös.,,gergin
nett,nice,Goethe A2,Ich habe viele nette Kollegen.,,"sevimli, kibar"
neu,new,Goethe A2,Wir haben eine neue Wohnung.,,yeni
nicht,not,Goethe A2,Das stimmt nicht.,,değil
nichts,nothing,Goethe A2,Das macht nichts.,,hiçbir şey
nie,never,Goethe A2,Er kommt nie pünktlich.,,asla
niemand,no one,Goethe A2,Hier ist niemand.,,hiç kimse
nirgends,nowhere,Goethe A2,Hier kann man nirgends parken.,,hiçbir yerde
noch,"still, yet",Goethe A2,Ich habe noch 20 Euro.,,"hâlâ, daha"
normal,normal,Goethe A2,Das ist doch ganz normal.,,normal
die Note,grade (school),Goethe A2,Eva hat immer sehr gute Noten in Deutsch.,,not (okul)
notieren,to note down,Goethe A2,Notieren Sie bitte alle wichtigen Informationen.,,not almak
die Notiz,note,Goethe A2,Schreib mir bitte eine Notiz.,,not
notwendig,necessary,Goethe A2,Das ist nicht notwendig.,,gerekli
die Nudel,"noodle, pasta",Goethe A2,Möchten Sie lieber Reis oder Nudeln?,,"makarna, erişte"
die Nummer,number,Goethe A2,Können Sie mir bitte Ihre Nummer geben?,,numara
nur,only,Goethe A2,Ich möchte nur ein Glas Wasser.,,sadece
nützlich,useful,Goethe A2,Danke für den Tipp. Er war sehr nützlich.,,faydalı
oben,"upstairs, above",Goethe A2,Ich wohne oben im 4. Stock.,,yukarıda
das Obst,fruit,Goethe A2,Obst kaufe ich immer auf dem Markt.,,meyve
oder,or,Goethe A2,Wann können Sie kommen – heute oder morgen?,,veya
das Projekt,project,Goethe A2,Wir machen ein Projekt über Sehenswürdigkeiten.,,proje
der Prospekt,brochure,Goethe A2,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.,,broşür
prüfen,"to check, verify",Goethe A2,Bitte prüfen Sie die Rechnung sofort.,,kontrol etmek
die Prüfung,exam,Goethe A2,Ich habe die Prüfung bestanden.,,sınav
der Pullover,sweater,Goethe A2,Ich muss mir einen Pullover kaufen.,,kazak
pünktlich,"punctual, on time",Goethe A2,Der Bus fährt pünktlich um acht Uhr.,,"dakik, zamanında"
putzen,to clean,Goethe A2,Ich muss heute noch das Bad putzen.,,temizlemek
die Qualität,quality,Goethe A2,Dieser Fernseher hat eine gute Qualität.,,kalite
das Quiz,quiz,Goethe A2,Sie hat beim Quiz gewonnen.,,bilgi yarışması
das Radio,radio,Goethe A2,Ich höre im Auto gern Radio.,,radyo
raten,"to advise, guess",Goethe A2,Was raten Sie mir?,,"tavsiye etmek, tahmin etmek"
das Rathaus,city hall,Goethe A2,Sie müssen sich im Rathaus anmelden.,,belediye binası
das Rätsel,"riddle, puzzle",Goethe A2,Das Rätsel ist schwierig!,,bulmaca
rauchen,to smoke,Goethe A2,Rauchen ist hier verboten!,,sigara içmek
der Raum,"room, space",Goethe A2,Der Unterricht findet in Raum 332 statt.,,"oda, mekan"
rechnen,to calculate,Goethe A2,Sarah kann gut rechnen.,,hesaplamak
die Rechnung,"bill, invoice",Goethe A2,"Bitte, die Rechnung!",,"fatura, hesap"
recht haben,to be right,Goethe A2,Du hast (nicht) recht.,,haklı olmak
rechts,right,Goethe A2,Der Bahnhof ist hier rechts.,,sağ
reden,to talk,Goethe A2,Mit meiner Freundin kann ich über alles reden.,,konuşmak
der Regen,rain,Goethe A2,Bei Regen gehe ich nicht aus dem Haus.,,yağmur
regnen,to rain,Goethe A2,"Wenn es regnet, bleiben wir zu Hause.",,yağmur yağmak
reich,rich,Goethe A2,Lotte ist reich. Sie hat sehr viel Geld.,,zengin
der Reifen,tire,Goethe A2,Ich brauche neue Reifen für mein Auto.,,lastik
die Reihe,row,Goethe A2,Wir sitzen in der dritten Reihe.,,sıra
die Reinigung,dry cleaner's,Goethe A2,Bringst du bitte die Bluse in die Reinigung?,,kuru temizleyici
das Passwort,password,Goethe A2,Ich habe mein Passwort vergessen.,,şifre
die Pause,break,Goethe A2,Von 12.00 bis 12.30 Uhr haben wir Mittagspause.,,mola
die Person,person,Goethe A2,Eintritt pro Person: 5 Euro.,,kişi
das Pferd,horse,Goethe A2,Amira liebt Pferde.,,at
die Pflanze,plant,Goethe A2,Können Sie sich um unsere Pflanzen kümmern?,,bitki
die Pizza,pizza,Goethe A2,Mein Lieblingsessen ist Pizza.,,pizza
das Plakat,poster,Goethe A2,Wir machen im Unterricht ein Plakat.,,afiş
der Plan,"plan, map",Goethe A2,Ich kaufe mir einen Stadtplan.,,plan
planen,to plan,Goethe A2,Wir sollen zusammen eine Klassenparty planen.,,planlamak
der Platz,"place, seat, square",Goethe A2,Hier ist noch ein Platz frei.,,"yer, koltuk, meydan"
plötzlich,suddenly,Goethe A2,Plötzlich war das Licht aus.,,aniden
die Polizei,police,Goethe A2,Rufen Sie die Polizei!,,polis
die Pommes frites,French fries,Goethe A2,Die Kinder essen Bratwurst mit Pommes frites.,,patates kızartması
die Portion,portion,Goethe A2,Ich nehme eine kleine Portion Eis.,,porsiyon
die Post,"post office, mail",Goethe A2,"Entschuldigung, wo ist die Post?",,"postane, posta"
das Poster,poster,Goethe A2,Das Poster hängt über dem Bett.,,poster
die Postkarte,postcard,Goethe A2,Schreibst du mir eine Postkarte aus Kanada?,,kartpostal
die Postleitzahl,postal code,Goethe A2,Wie ist Ihre Postleitzahl?,,posta kodu
das Praktikum,internship,Goethe A2,Ich mache ein Praktikum bei Siemens.,,staj
praktisch,practical,Goethe A2,Das finde ich sehr praktisch.,,pratik
die Praxis,(doctor's) practice,Goethe A2,Unsere Praxis ist ab acht Uhr geöffnet.,,muayenehane
der Preis,price,Goethe A2,Die Preise sind hier viel höher als bei uns.,,fiyat
preiswert,"good value, inexpensive",Goethe A2,Die Jacke ist sehr preiswert.,,uygun fiyatlı
privat,private,Goethe A2,Dieser Strand ist privat.,,özel
pro,per,Goethe A2,Das Zimmer kostet 100 Euro pro Nacht.,,başına
probieren,"to try, taste",Goethe A2,Möchten Sie den Käse probieren?,,"denemek, tatmak"
das Problem,problem,Goethe A2,Ich habe ein Problem.,,sorun
das Produkt,product,Goethe A2,Unsere Produkte haben eine sehr hohe Qualität.,,ürün
das Programm,program,Goethe A2,Was kommt heute im Kino? Hast du das Programm?,,program
rund,round,Goethe A2,Unser Wohnzimmertisch ist rund.,,yuvarlak
der Rundgang,"guided walk, tour",Goethe A2,Der Rundgang durch das Schloss beginnt gleich.,,"tur, gezi"
die Sache,"thing, matter",Goethe A2,Das ist meine Sache.,,"şey, mesele"
der Saft,juice,Goethe A2,Möchtest du einen Apfelsaft?,,meyve suyu
sagen,to say,Goethe A2,"Sag mal, wie geht es dir denn?",,söylemek
der Salat,salad,Goethe A2,Wie schmeckt dir der Salat?,,salata
das Salz,salt,Goethe A2,Kann ich bitte Salz haben?,,tuz
sammeln,to collect,Goethe A2,Peter sammelt Briefmarken.,,toplamak (koleksiyon)
der Satz,sentence,Goethe A2,Den letzten Satz verstehe ich nicht.,,cümle
sauber,clean,Goethe A2,Bringen Sie mir bitte ein sauberes Glas!,,temiz
sauer,sour / annoyed,Goethe A2,Zitronen sind mir zu sauer.,,ekşi / kızgın
schade,"a pity, too bad",Goethe A2,"Schade, dass du nicht kommen kannst.",,yazık
schädlich,harmful,Goethe A2,Rauchen ist schädlich für die Gesundheit.,,zararlı
schaffen,"to manage, accomplish",Goethe A2,Ich schaffe das nicht alleine.,,başarmak
der Schalter,"counter, switch",Goethe A2,Gehen Sie bitte zum Schalter drei!,,"gişe, anahtar"
scharf,"spicy, sharp",Goethe A2,Die Suppe ist mir zu scharf.,,"acı (baharatlı), keskin"
scheinen,to shine,Goethe A2,Die Sonne scheint.,,parlamak (güneş)
schenken,to give (as a gift),Goethe A2,Was schenken wir Michael zum Geburtstag?,,hediye etmek
die Schere,scissors,Goethe A2,Die Schere schneidet nicht gut.,,makas
schicken,to send,Goethe A2,Bitte schicken Sie mir eine E-Mail.,,göndermek
das Schiff,ship,Goethe A2,Wir fahren mit dem Schiff von Basel nach Köln.,,gemi
das Schild,sign,Goethe A2,Haben Sie das Schild nicht gesehen?,,"tabela, levha"
schimpfen,"to scold, grumble",Goethe A2,Alle schimpfen über das Wetter.,,"söylenmek, azarlamak"
der Schirm,umbrella,Goethe A2,"Nimm den Schirm mit, es regnet.",,şemsiye
schlafen,to sleep,Goethe A2,Ich schlafe meistens acht Stunden.,,uyumak
der Reis,rice,Goethe A2,Ich esse gern Reis mit Gemüse und Fisch.,,pirinç
die Reise,"trip, journey",Goethe A2,Wir machen eine Reise nach Österreich.,,yolculuk
das Reisebüro,travel agency,Goethe A2,Wir buchen die Reise im Reisebüro.,,seyahat acentesi
der Reiseführer,tour guide / guidebook,Goethe A2,Ich kaufe mir einen Reiseführer von Berlin.,,rehber / seyahat rehberi
reisen,to travel,Goethe A2,Ich reise gern.,,seyahat etmek
reiten,to ride (a horse),Goethe A2,Möchtest du reiten lernen?,,at binmek
renovieren,to renovate,Goethe A2,Wir renovieren das ganze Haus.,,tadilat yapmak
der Rentner,"pensioner, retiree",Goethe A2,Mein Onkel ist Rentner.,,emekli
die Reparatur,repair,Goethe A2,Die Reparatur ist sehr teuer.,,tamir
reparieren,to repair,Goethe A2,Er muss den Motor reparieren.,,tamir etmek
reservieren,to reserve,Goethe A2,Reservieren Sie bitte ein Doppelzimmer.,,rezerve etmek
der Rest,"rest, remainder",Goethe A2,Den Rest gebe ich dir später.,,geri kalan
das Restaurant,restaurant,Goethe A2,Wir essen heute in einem Restaurant.,,restoran
das Rezept,recipe / prescription,Goethe A2,Kannst du mir bitte das Rezept geben?,,tarif / reçete
die Rezeption,reception,Goethe A2,Geben Sie bitte den Schlüssel an der Rezeption ab.,,resepsiyon
richtig,"right, correct",Goethe A2,Das ist richtig.,,doğru
riechen,to smell,Goethe A2,Diese Blumen riechen gut.,,"koklamak, kokmak"
das Rind,"beef, cattle",Goethe A2,Ich esse nur Fleisch vom Rind.,,sığır
der Ring,ring,Goethe A2,Ich habe meinen Ring verloren.,,yüzük
der Rock,skirt,Goethe A2,Der Rock ist zu eng.,,etek
romantisch,romantic,Goethe A2,Dieser Film ist sehr romantisch.,,romantik
die Rose,rose,Goethe A2,Er schenkt seiner Freundin rote Rosen.,,gül
der Rücken,back (body),Goethe A2,Mein Rücken tut mir weh.,,sırt
der Rucksack,backpack,Goethe A2,Ich nehme lieber einen Rucksack als einen Koffer.,,sırt çantası
rufen,"to call out, shout",Goethe A2,Wir müssen einen Arzt rufen.,,çağırmak
die Ruhe,"peace, quiet",Goethe A2,Sie braucht viel Ruhe.,,"huzur, sessizlik"
ruhig,"calm, quiet",Goethe A2,Ich möchte ein ruhiges Zimmer.,,sakin
der Schüler,"pupil, student",Goethe A2,In meinem Kurs sind acht Schülerinnen und fünf Schüler.,,öğrenci (okul)
schwach,weak,Goethe A2,Er ist krank und schwach.,,"zayıf, güçsüz"
schwanger,pregnant,Goethe A2,Lena ist schwanger.,,hamile
das Schwein,pig,Goethe A2,Ich esse kein Schweinefleisch.,,domuz
schwer,"heavy, difficult",Goethe A2,Wie schwer ist das Paket?,,"ağır, zor"
schwierig,difficult,Goethe A2,Die Prüfung war nicht schwierig.,,zor
das Schwimmbad,swimming pool,Goethe A2,Kommst du mit ins Schwimmbad?,,yüzme havuzu
schwimmen,to swim,Goethe A2,Ich schwimme täglich einen Kilometer.,,yüzmek
der See,lake,Goethe A2,"Komm, wir fahren an den Bodensee.",,göl
die See,sea,Goethe A2,Wir machen Urlaub an der Nordsee.,,deniz
sehen,to see,Goethe A2,Ich kann dich nicht sehen.,,görmek
die Sehenswürdigkeit,tourist sight,Goethe A2,Welche Sehenswürdigkeiten gibt es in Frankfurt?,,gezilecek yer
sehr,very,Goethe A2,Das Wetter ist heute sehr schön.,,çok
die Seife,soap,Goethe A2,Hier gibt es keine Seife.,,sabun
sein,to be,Goethe A2,Ich bin Mechaniker.,,olmak
an sein,to be on (device),Goethe A2,Das Licht ist noch an.,,açık olmak (cihaz)
aus sein,to be off,Goethe A2,Das Licht ist schon aus.,,kapalı olmak (cihaz)
auf sein,to be open,Goethe A2,Das Fenster ist noch auf.,,açık olmak (kapı/pencere)
weg sein,"to be gone, away",Goethe A2,Herr Meier ist schon weg.,,gitmiş olmak
zu sein,to be closed,Goethe A2,Die Tür ist zu.,,kapalı olmak
seit,"since, for (time)",Goethe A2,Ich wohne seit drei Jahren in Köln.,,-den beri
die Seite,page / side,Goethe A2,Öffnen Sie das Kursbuch auf Seite 20.,,sayfa / taraf
selbst,oneself,Goethe A2,Ich mache das selbst.,,kendisi
die Sendung,TV/radio program,Goethe A2,Welche Sendungen schaust du gern an?,,"yayın, program"
der Service,service,Goethe A2,Ich bin mit dem Service sehr zufrieden.,,hizmet
sich setzen,to sit down,Goethe A2,Setz dich doch!,,oturmak
das Schlafzimmer,bedroom,Goethe A2,Hier ist das Schlafzimmer.,,yatak odası
schlecht,bad,Goethe A2,Mir ist schlecht!,,kötü
schließen,to close,Goethe A2,Bitte schließen Sie die Tür.,,kapatmak
schlimm,"bad, serious",Goethe A2,Das ist nicht so schlimm.,,"kötü, ciddi"
das Schloss,castle / lock,Goethe A2,Wir besichtigen Schloss Neuschwanstein.,,şato / kilit
der Schluss,end,Goethe A2,Ich muss jetzt Schluss machen.,,son
der Schlüssel,key,Goethe A2,Ich finde meinen Schlüssel nicht.,,anahtar
schmecken,to taste,Goethe A2,Schmeckt dir die Suppe?,,"tatmak, tadı olmak"
der Schmerz,pain,Goethe A2,Haben Sie Schmerzen?,,ağrı
schmutzig,dirty,Goethe A2,Das Handtuch ist schmutzig.,,kirli
der Schnee,snow,Goethe A2,In den Bergen liegt viel Schnee.,,kar
schneiden,to cut,Goethe A2,Das Messer schneidet nicht gut.,,kesmek
schneien,to snow,Goethe A2,Morgen schneit es.,,kar yağmak
schnell,fast,Goethe A2,Warum fährst du so schnell?,,hızlı
die Schokolade,chocolate,Goethe A2,Julia liebt Schokolade.,,çikolata
schon,already,Goethe A2,Ist das Essen schon fertig?,,"zaten, çoktan"
schön,"beautiful, nice",Goethe A2,Das Bild ist sehr schön.,,güzel
der Schrank,"cupboard, closet",Goethe A2,Die Gläser stehen im Schrank.,,dolap
schrecklich,"terrible, dreadful",Goethe A2,Ich finde den Film schrecklich.,,korkunç
schreiben,to write,Goethe A2,Ich schreibe dir eine E-Mail.,,yazmak
schriftlich,in writing,Goethe A2,Sie müssen sich schriftlich anmelden.,,yazılı olarak
der Schuh,shoe,Goethe A2,Zieh die Schuhe aus!,,ayakkabı
die Schule,school,Goethe A2,Meine Tochter geht schon in die Schule.,,okul
spielen,to play,Goethe A2,Die Kinder spielen draußen.,,oynamak
der Sport,sport,Goethe A2,Ich mache viel Sport.,,spor
sportlich,"athletic, sporty",Goethe A2,Tom ist sehr sportlich.,,sportif
der Sportplatz,sports field,Goethe A2,Das Fußballtraining ist auf dem Sportplatz.,,spor sahası
die Sprache,language,Goethe A2,Welche Sprachen sprichst du?,,dil
sprechen,to speak,Goethe A2,Kann ich mit Herrn Klein sprechen?,,konuşmak
die Sprechstunde,"office hours, consultation hours",Goethe A2,Frau Doktor Weiß hat Sprechstunde von 9 bis 12.,,görüşme saatleri
die Stadt,city,Goethe A2,Heidelberg ist eine alte Stadt.,,şehir
der Stadtplan,city map,Goethe A2,Haben Sie einen Stadtplan von Salzburg?,,şehir haritası
der Star,star (celebrity),Goethe A2,Diese Sängerin ist ein Star in Deutschland.,,yıldız (ünlü)
stark,strong,Goethe A2,Ich habe starke Kopfschmerzen.,,"güçlü, şiddetli"
stattfinden,to take place,Goethe A2,Das Spiel findet auch bei Regen statt.,,gerçekleşmek
stehen,to stand,Goethe A2,Der Bus steht schon an der Haltestelle.,,ayakta durmak
die Stelle,"position, job / place",Goethe A2,Ich habe eine neue Stelle.,,pozisyon / yer
stellen,"to put, place",Goethe A2,Stell die Milch bitte in den Kühlschrank!,,dikey koymak
sterben,to die,Goethe A2,Sein Vater ist gestern gestorben.,,ölmek
der Stiefel,boot,Goethe A2,Wie viel kosten die roten Stiefel?,,çizme
der Stift,"pen, pencil",Goethe A2,Kannst du mir bitte einen Stift geben?,,kalem
das Stipendium,scholarship,Goethe A2,"Wenn ich ein gutes Zeugnis habe, bekomme ich ein Stipendium.",,burs
der Stock,floor (building),Goethe A2,Unsere Wohnung liegt im ersten Stock.,,kat
das Stockwerk,"floor, story",Goethe A2,Das Gebäude hat zwanzig Stockwerke.,,kat
stören,"to disturb, bother",Goethe A2,Darf ich Sie kurz stören?,,rahatsız etmek
der Strand,beach,Goethe A2,Im Urlaub bin ich am liebsten am Strand.,,plaj
die Straße,street,Goethe A2,In welcher Straße wohnen Sie?,,sokak
die Straßenbahn,tram,Goethe A2,Fahren wir mit der Straßenbahn?,,tramvay
sich streiten,"to argue, quarrel",Goethe A2,Die Kinder streiten sich oft.,,"tartışmak, kavga etmek"
sicher,"safe, sure",Goethe A2,"Ich bin ganz sicher, dass er kommt.",,"güvenli, emin"
singen,to sing,Goethe A2,Er singt gern.,,şarkı söylemek
die Situation,situation,Goethe A2,Ich bin in einer schwierigen Situation.,,durum
sitzen,to sit,Goethe A2,Wo möchten Sie sitzen?,,oturmak
der Ski,ski,Goethe A2,Gehen wir am Wochenende Ski fahren?,,kayak
so,"so, like this",Goethe A2,Sie müssen das so machen!,,böyle
das Sofa,sofa,Goethe A2,Das Sofa ist bequem.,,kanepe
sofort,immediately,Goethe A2,Bitte antworten Sie sofort.,,hemen
sogar,even,Goethe A2,In den Bergen schneit es sogar.,,hatta
sollen,"should, to be supposed to",Goethe A2,Was soll ich mitbringen?,,gerekmek
die Sonne,sun,Goethe A2,Die Sonne scheint.,,güneş
sonnig,sunny,Goethe A2,Morgen ist das Wetter wieder sonnig.,,güneşli
sonst,otherwise,Goethe A2,"Beeil dich, sonst kommen wir zu spät!",,"yoksa, aksi takdirde"
spannend,"exciting, thrilling",Goethe A2,Ich finde den Film sehr spannend.,,heyecanlı
sparen,to save (money),Goethe A2,Ein neues Auto ist sehr teuer. Ich muss sparen.,,biriktirmek (para)
der Spaß,fun,Goethe A2,Meine Arbeit macht mir Spaß.,,"eğlence, keyif"
spät,late,Goethe A2,"Es ist schon spät, ich muss gehen.",,geç
später,later,Goethe A2,Das können wir später machen.,,daha sonra
spazieren gehen,to go for a walk,Goethe A2,Wir gehen sonntags immer spazieren.,,yürüyüşe çıkmak
der Spaziergang,"walk, stroll",Goethe A2,Abends mache ich immer einen Spaziergang.,,yürüyüş
speichern,to save (a file),Goethe A2,Sie müssen die Datei speichern.,,kaydetmek (dosya)
die Speisekarte,menu,Goethe A2,Bringen Sie uns bitte die Speisekarte.,,menü
das Spiel,game,Goethe A2,Monopoly ist ein sehr bekanntes Spiel.,,oyun
teilen,"to share, divide",Goethe A2,Wollen wir die Pizza teilen?,,"paylaşmak, bölmek"
teilnehmen,to take part in,Goethe A2,Ich möchte an dem Tanzkurs teilnehmen.,,katılmak
das Telefon,telephone,Goethe A2,Darf ich bitte Ihr Telefon benutzen?,,telefon
telefonieren,to telephone,Goethe A2,Ich muss kurz telefonieren.,,telefonla görüşmek
der Teller,plate,Goethe A2,Stell die Teller bitte auf den Tisch!,,tabak
das Tennis,tennis,Goethe A2,Steffi spielt sehr gut Tennis.,,tenis
der Termin,appointment,Goethe A2,Am besten machen wir sofort einen Termin.,,randevu
teuer,expensive,Goethe A2,Das ist mir zu teuer.,,pahalı
der Text,text,Goethe A2,Lesen Sie bitte den Text.,,metin
das Theater,theater,Goethe A2,Ich gehe nicht gern ins Theater.,,tiyatro
das Thema,topic,Goethe A2,Heute heißt unser Thema: „Essen und Trinken“.,,konu
das Ticket,ticket,Goethe A2,Wie viel kostet das Ticket?,,bilet
tief,deep,Goethe A2,"Vorsicht, das Wasser ist tief!",,derin
das Tier,animal,Goethe A2,Meine Lieblingstiere sind Katzen.,,hayvan
der Tipp,"tip, advice",Goethe A2,Kannst du mir einen guten Tipp geben?,,"tavsiye, ipucu"
der Tisch,table,Goethe A2,Das Essen steht schon auf dem Tisch.,,masa
der Titel,title,Goethe A2,Ich weiß den Titel nicht mehr.,,başlık
die Toilette,toilet,Goethe A2,"Wo ist die Toilette, bitte?",,tuvalet
toll,"great, awesome",Goethe A2,Der Urlaub war toll.,,harika
die Tomate,tomato,Goethe A2,Die Tomate ist noch grün.,,domates
der Topf,pot,Goethe A2,Hast du keinen größeren Topf?,,tencere
die Torte,"layer cake, gateau",Goethe A2,Zum Geburtstag backe ich dir eine Torte.,,pasta (katmanlı)
tot,dead,Goethe A2,Meine Großeltern sind schon lange tot.,,ölü
total,totally,Goethe A2,Der Film ist total langweilig.,,tamamen
die Tour,tour,Goethe A2,Ich kenne eine schöne Tour in den Bergen.,,tur
der Tourist,tourist,Goethe A2,Im Sommer kommen viele Touristen in diese Stadt.,,turist
tragen,"to carry, wear",Goethe A2,Er trägt heute einen blauen Anzug.,,"taşımak, giymek"
trainieren,to train,Goethe A2,Wir trainieren einmal pro Woche.,,antrenman yapmak
das Training,training,Goethe A2,Das Training ist immer dienstags.,,antrenman
der Traum,dream,Goethe A2,"Ich möchte eine eigene Firma, das ist mein Traum.",,"rüya, hayal"
träumen,to dream,Goethe A2,Ich träume von einem großen Haus mit Garten.,,"rüya görmek, hayal kurmak"
traurig,sad,Goethe A2,Ich bin sehr traurig.,,üzgün
sich treffen,to meet,Goethe A2,Ich treffe in der Stadt einen Kollegen.,,buluşmak
streng,strict,Goethe A2,Der Lehrer von meiner Tochter ist sehr streng.,,"katı, sıkı"
der Stress,stress,Goethe A2,Ich habe bei der Arbeit viel Stress.,,stres
stressig,stressful,Goethe A2,Meine Arbeit ist stressig.,,stresli
das Stück,piece,Goethe A2,Möchten Sie noch ein Stück Kuchen?,,parça
der Student,student (university),Goethe A2,Ich bin Studentin.,,üniversite öğrencisi
studieren,to study (university),Goethe A2,Ich studiere in Mainz.,,üniversitede okumak
das Studium,studies (university),Goethe A2,Das Studium dauert drei Jahre.,,üniversite eğitimi
der Stuhl,chair,Goethe A2,Ist der Stuhl frei?,,sandalye
suchen,to look for,Goethe A2,Suchst du etwas?,,aramak
super,"great, super",Goethe A2,Der Film ist super.,,harika
der Supermarkt,supermarket,Goethe A2,Ich kaufe oft im Supermarkt ein.,,süpermarket
die Suppe,soup,Goethe A2,Schmeckt dir die Suppe?,,çorba
surfen,to surf (internet/waves),Goethe A2,Surfst du oft im Internet?,,"gezinmek (internette), sörf yapmak"
süß,sweet,Goethe A2,Ich finde die Torte zu süß.,,tatlı
die Süßigkeiten,"sweets, candy",Goethe A2,Welche Süßigkeiten isst du am liebsten?,,şekerleme
sympathisch,likeable,Goethe A2,Der neue Chef ist sehr sympathisch.,,sempatik
das Tablet,tablet (device),Goethe A2,Hast du ein Tablet?,,tablet
die Tablette,pill,Goethe A2,Du sollst am Abend zwei Tabletten nehmen.,,hap
die Tafel,"board, sign",Goethe A2,Der Lehrer schreibt das neue Wort an die Tafel.,,"tahta, levha"
tanzen,to dance,Goethe A2,Tanzen Sie gern?,,dans etmek
die Tasche,"bag, pocket",Goethe A2,Ich habe die Schlüssel in der Tasche.,,"çanta, cep"
das Taschengeld,pocket money,Goethe A2,Wie viel Taschengeld bekommen deine Kinder?,,harçlık
die Tasse,cup,Goethe A2,Möchten Sie eine Tasse Kaffee?,,fincan
tauschen,"to exchange, swap",Goethe A2,Können wir bitte die Plätze tauschen?,,değiştirmek
