de,en,cat,ex,pos,tr
höchstens,at most,Top-Adverbien & sonstige Verbindungswörter,,adv,en fazla
kaum,hardly,Top-Adverbien & sonstige Verbindungswörter,,adv,neredeyse hiç
eher,"rather, more likely",Top-Adverbien & sonstige Verbindungswörter,,adv,"daha çok, ziyade"
sowieso,anyway,Top-Adverbien & sonstige Verbindungswörter,,adv,"zaten, nasılsa"
trotzdem,"anyway, still",Top-Adverbien & sonstige Verbindungswörter,,adv,yine de
absolut,absolutely,Top-Adverbien & sonstige Verbindungswörter,,adv,kesinlikle
völlig,completely,Top-Adverbien & sonstige Verbindungswörter,,adv,tamamen
ständig,constantly,Top-Adverbien & sonstige Verbindungswörter,,adv,sürekli
dauernd,constantly,Top-Adverbien & sonstige Verbindungswörter,,adv,"sürekli, durmadan"
plötzlich,suddenly,Top-Adverbien & sonstige Verbindungswörter,,adv,aniden
sofort,immediately,Top-Adverbien & sonstige Verbindungswörter,,adv,hemen
gerne,gladly,Top-Adverbien & sonstige Verbindungswörter,,adv,memnuniyetle
unbedingt,"absolutely, definitely",Top-Adverbien & sonstige Verbindungswörter,,adv,"kesinlikle, mutlaka"
vielleicht,perhaps,Top-Adverbien & sonstige Verbindungswörter,,adv,belki
null,zero,Zahlen & Mengen,,num,sıfır
eins,one,Zahlen & Mengen,,num,bir
zwei,two,Zahlen & Mengen,,num,iki
drei,three,Zahlen & Mengen,,num,üç
vier,four,Zahlen & Mengen,,num,dört
fünf,five,Zahlen & Mengen,,num,beş
sechs,six,Zahlen & Mengen,,num,altı
sieben,seven,Zahlen & Mengen,,num,yedi
acht,eight,Zahlen & Mengen,,num,sekiz
neun,nine,Zahlen & Mengen,,num,dokuz
zehn,ten,Zahlen & Mengen,,num,on
elf,eleven,Zahlen & Mengen,,num,on bir
zwölf,twelve,Zahlen & Mengen,,num,on iki
zwanzig,twenty,Zahlen & Mengen,,num,yirmi
dreißig,thirty,Zahlen & Mengen,,num,otuz
hundert,hundred,Zahlen & Mengen,,num,yüz
tausend,thousand,Zahlen & Mengen,,num,bin
million,million,Zahlen & Mengen,,num,milyon
erste,first,Zahlen & Mengen,,num,birinci
zweite,second,Zahlen & Mengen,,num,ikinci
dritte,third,Zahlen & Mengen,,num,üçüncü
letzte,last,Zahlen & Mengen,,num,sonuncu
nächste,next,Zahlen & Mengen,,num,sonraki
halb,half,Zahlen & Mengen,,num,yarım
viel,"much, a lot",Zahlen & Mengen,,quant,çok
wenig,"little, few",Zahlen & Mengen,,quant,az
mehr,more,Zahlen & Mengen,,quant,daha fazla
weniger,"less, fewer",Zahlen & Mengen,,quant,daha az
genug,enough,Zahlen & Mengen,,quant,yeterli
zu viel,too much,Zahlen & Mengen,,quant,çok fazla
ein paar,a few,Zahlen & Mengen,,quant,birkaç
einige,some,Zahlen & Mengen,,quant,bazı
mehrere,several,Zahlen & Mengen,,quant,"birkaç tane, çeşitli"
manche,some (people/things),Zahlen & Mengen,,quant,bazıları
beide,both,Zahlen & Mengen,,quant,her ikisi
ganz,"whole, entire",Zahlen & Mengen,,quant,"oldukça, tamamen"
