de,en,cat,ex,pos,tr
der Kreis,"circle, district",Goethe B1,Die Kinder sitzen im Kreis.,,"daire, çember, ilçe"
das Kreuz,cross,Goethe B1,Was bedeutet dieses Kreuz hier?,,"haç, çarpı işareti"
die Kreuzung,"intersection, crossroads",Goethe B1,Fahren Sie an der nächsten Kreuzung rechts.,,kavşak
der Krieg,war,Goethe B1,Es herrscht noch immer Krieg in diesem Land.,,savaş
kriegen,"to get, receive (informal)",Goethe B1,Haben Sie meinen Brief gekriegt?,,almak (konuşma dili)
die Kriminalpolizei / der Krimi,criminal investigation dept. / crime drama,Goethe B1,Heute Abend kommt ein spannender Krimi.,,kriminal polis / polisiye film
die Krise,crisis,Goethe B1,Die Wirtschaft steckt in einer schweren Krise.,,kriz
kritisieren,to criticize,Goethe B1,Kritisiere mich nicht so oft.,,eleştirmek
die Kritik,"criticism, critique",Goethe B1,Es gibt viel Kritik an der Politik der Regierung.,,eleştiri
kritisch,critical,Goethe B1,Ein Journalist hat kritische Fragen gestellt.,,eleştirel
die Küche,kitchen,Goethe B1,Ich suche eine Wohnung mit Küche und Bad.,,mutfak
der Kuchen,cake,Goethe B1,Ich habe einen Kuchen gebacken.,,"kek, pasta"
der Kugelschreiber / der Kuli,ballpoint pen / pen (informal),Goethe B1,Mein Kugelschreiber ist weg.,,tükenmez kalem
kühl,cool,Goethe B1,Es ist kühl draußen.,,serin
der Kühlschrank,"fridge, refrigerator",Goethe B1,Stell die Milch in den Kühlschrank!,,buzdolabı
die Kultur,culture,Goethe B1,Ich interessiere mich für andere Kulturen.,,kültür
kulturell,cultural,Goethe B1,Es gibt große kulturelle Unterschiede.,,kültürel
küssen,to kiss,Goethe B1,Er nahm sie in die Arme und küsste sie.,,öpmek
sich kümmern,"to take care of, deal with",Goethe B1,Ich muss mich um die Kinder kümmern.,,"ilgilenmek, bakmak"
der Kunde / die Kundin,"customer, client",Goethe B1,Sie ist schon lange bei mir Kundin.,,müşteri
kündigen,"to quit, terminate",Goethe B1,Ich war mit meiner Stelle nicht zufrieden und habe gekündigt.,,"istifa etmek, sözleşme feshetmek"
die Kündigung,"notice, termination",Goethe B1,Ich habe die Kündigung bekommen.,,"işten çıkarma bildirimi, fesih"
die Kunst,art,Goethe B1,Ich verstehe nichts von moderner Kunst.,,sanat
der Kuss,kiss,Goethe B1,Gib der Mama einen Kuss!,,öpücük
die Küste,coast,Goethe B1,Unser Dorf liegt direkt an der Küste.,,"kıyı, sahil"
das Kuvert,envelope (Austrian),Goethe B1,Ich hätte gern 50 Kuverts.,,zarf (Avusturya)
der Künstler / die Künstlerin,artist,Goethe B1,In diesem Stadtteil wohnen viele Künstlerinnen.,,sanatçı
künstlich,artificial,Goethe B1,Ich mag kein künstliches Licht.,,"yapay, suni"
der Kunststoff,"plastic, synthetic material",Goethe B1,Der Stuhl ist aus Kunststoff.,,plastik
der Kurs,"course, class, exchange rate",Goethe B1,Ich besuche regelmäßig einen Deutschkurs.,,"kurs, döviz kuru"
der Kursleiter / die Kursleiterin,course instructor,Goethe B1,Die Kursleiterin ist sehr nett.,,kurs yöneticisi
die Kurve,"curve, bend",Goethe B1,Fahr bitte nicht so schnell in die Kurven.,,viraj
kurz,"short, brief",Goethe B1,Ricardo hat kurze Haare.,,kısa
kürzlich,recently,Goethe B1,Wir haben kürzlich darüber gesprochen.,,"geçenlerde, yakın zamanda"
lächeln,to smile,Goethe B1,"Er lächelte, als er die gute Nachricht hörte.",,gülümsemek
lachen,to laugh,Goethe B1,Lachen ist gesund.,,gülmek
der Laden,"shop, store",Goethe B1,Dieses Kleid habe ich in einem Laden im Zentrum gekauft.,,"dükkan, mağaza"
die Lage,"location, situation",Goethe B1,Wir suchen eine Wohnung in zentraler Lage.,,"konum, durum"
das Lager,"stockroom, warehouse, camp",Goethe B1,Ich sehe mal im Lager nach.,,"depo, kamp"
die Lampe,"lamp, light",Goethe B1,Ich habe mir eine neue Lampe gekauft.,,lamba
das Land,"country, countryside",Goethe B1,Deutschland ist ein schönes Land.,,"ülke, kırsal"
die Landwirtschaft,"agriculture, farming",Goethe B1,Die meisten Leute arbeiten in der Landwirtschaft.,,"tarım, çiftçilik"
die Landschaft,"landscape, scenery",Goethe B1,Die Landschaft ist sehr hügelig.,,"manzara, arazi"
landen,to land,Goethe B1,Wir sind erst um 20 Uhr in München gelandet.,,"inmek, konmak (uçak)"
die Landung,landing,Goethe B1,Bei der Landung müssen Sie sich anschnallen.,,iniş
lang,long,Goethe B1,Der Teppich ist 3 m lang.,,uzun
die Länge,length,Goethe B1,Mein Schreibtisch hat: Länge 1.20 m.,,uzunluk
lange / lang,"long (time), for a long time",Goethe B1,Wie lange dauert die Fahrt?,,"uzun süre, uzun zaman"
langsam,"slow, slowly",Goethe B1,Könnten Sie bitte etwas langsamer sprechen?,,yavaş
längst,"long ago, long since",Goethe B1,Die habe ich schon längst repariert.,,"çoktan, uzun süre önce"
langweilig,boring,Goethe B1,Der Film war sehr langweilig.,,sıkıcı
sich langweilen,to be bored,Goethe B1,Langweilst du dich?,,sıkılmak
die Langeweile,boredom,Goethe B1,Es ist aus Langeweile eingeschlafen.,,"sıkıntı, can sıkıntısı"
der Lärm,noise,Goethe B1,Die Flugzeuge machen einen schrecklichen Lärm.,,gürültü
lassen,"to let, leave, have done",Goethe B1,Ich habe mein Gepäck am Bahnhof gelassen.,,"bırakmak, izin vermek"
der Laster,"truck, lorry",Goethe B1,Auf der Autobahn waren so viele Laster.,,kamyon
laufen,"to run, walk",Goethe B1,"Ich bin gestern 100 m in 10,4 Sekunden gelaufen.",,"koşmak, yürümek"
das Laufwerk,drive (computer),Goethe B1,Für meinen Computer habe ich mir ein neues Laufwerk gekauft.,,sürücü (bilgisayar)
die Laune,mood,Goethe B1,Gestern hatte ich richtig schlechte Laune.,,"ruh hali, keyif"
laut,"loud, noisy",Goethe B1,Hier ist es mir zu laut.,,"gürültülü, yüksek sesle"
der Lautsprecher,loudspeaker,Goethe B1,Bitte achten Sie auf die Lautsprecher-Ansagen.,,hoparlör
lecker,"tasty, delicious",Goethe B1,Das Essen war sehr lecker.,,lezzetli
leben,"to live, be alive",Goethe B1,Leben Ihre Großeltern noch?,,yaşamak
das Leben,life,Goethe B1,Ich habe mich an das Leben auf dem Land gewöhnt.,,"hayat, yaşam"
der Lebenslauf,"CV, resume",Goethe B1,Hast du den Lebenslauf für die Bewerbung schon geschrieben?,,özgeçmiş
die Lebensmittel,"food, groceries",Goethe B1,Lebensmittel werden immer teurer.,,"gıda maddeleri, yiyecekler"
das Leder,leather,Goethe B1,Ist die Tasche aus Leder?,,deri
ledig,"single, unmarried",Goethe B1,Wie ist Ihr Familienstand? – Ledig.,,bekar
leer,empty,Goethe B1,Das Restaurant war fast leer.,,boş
legen,"to lay, put (horizontal)",Goethe B1,Ich habe Ihnen die Briefe auf den Schreibtisch gelegt.,,yatay koymak
die Lehre / die Lehrstelle,apprenticeship / apprenticeship position,Goethe B1,Mein Cousin will eine Lehre machen.,,çıraklık eğitimi
der Lehrer / die Lehrerin,teacher,Goethe B1,Die Lehrerin hat heute viele Hausaufgaben gegeben.,,öğretmen
der Lehrling,"apprentice, trainee",Goethe B1,Als Lehrling verdient man nicht sehr viel Geld.,,çırak
leicht,"light, easy",Goethe B1,Der Koffer ist ganz leicht.,,"hafif, kolay"
leid tun,"to be sorry, feel sorry for",Goethe B1,Die Frau tut mir leid.,,"üzülmek, acımak"
leiden,to suffer,Goethe B1,Er leidet an einer schweren Krankheit.,,acı çekmek
leider,unfortunately,Goethe B1,Da kann ich Ihnen leider nicht helfen.,,"ne yazık ki, maalesef"
leihen,"to lend, borrow",Goethe B1,Ich habe mir von meinem Bruder 50 Euro geliehen.,,ödünç vermek/almak
leise,"quiet, softly",Goethe B1,Seid leise. Die anderen schlafen schon.,,"sessiz, alçak sesle"
leisten,"to afford, achieve",Goethe B1,So ein teures Auto kann ich mir nicht leisten.,,"karşılayabilmek, başarmak"
die Leistung,"performance, achievement",Goethe B1,Meine Leistungen in der Schule sind ganz gut.,,"başarı, performans"
leiten,"to lead, manage",Goethe B1,Wer leitet den Kurs?,,"yönetmek, yürütmek"
die Leitung,"management, line, cable",Goethe B1,Ab Juli übernimmt Herr Meier die Leitung.,,"yönetim, hat"
die Leiter,ladder,Goethe B1,Haben Sie eine Leiter für mich?,,merdiven
lernen,"to learn, study",Goethe B1,Wie lange lernen Sie schon Deutsch?,,öğrenmek
der Lerner / die Lernerin,learner,Goethe B1,Sie ist eine fleißige Lernerin.,,"öğrenen, kursist"
lesen,to read,Goethe B1,"Ich habe gelesen, dass es Sonderangebote gibt.",,okumak
der Leser / die Leserin,reader,Goethe B1,Die Leserinnen und Leser sind mit der Zeitung zufrieden.,,okuyucu
letzt-,"last, latest",Goethe B1,Was hast du letzte Woche gemacht?,,"son, geçen"
die Leute,people,Goethe B1,Auf der Party waren viele Leute.,,insanlar
das Lexikon,"encyclopedia, dictionary",Goethe B1,Wir könnten im Lexikon nachsehen.,,"ansiklopedi, sözlük"
das Licht,light,Goethe B1,Kannst du bitte Licht machen?,,ışık
lieben,to love,Goethe B1,Ich liebe meine Familie.,,sevmek
lieb,"dear, sweet, kind",Goethe B1,Die Kinder waren heute sehr lieb.,,"sevgili, tatlı"
die Liebe,love,Goethe B1,Wir haben aus Liebe geheiratet.,,"aşk, sevgi"
Lieblings-,favorite (prefix),Goethe B1,Mein Lieblingsessen ist Pizza.,,"en sevilen, favori"
das Lied,song,Goethe B1,Zu deinem Geburtstag singen wir dir ein Lied.,,şarkı
liefern,"to deliver, supply",Goethe B1,Wir liefern Ihnen das Regal direkt ins Haus.,,"teslim etmek, tedarik etmek"
die Lieferung,delivery,Goethe B1,Sie bezahlen erst bei der Lieferung.,,teslimat
liegen,"to lie, be located",Goethe B1,Der Brief liegt schon auf Ihrem Schreibtisch.,,"uzanmak, bulunmak"
der Lift,"elevator, lift",Goethe B1,Im Büro ist leider der Lift kaputt.,,asansör
die Limonade,"lemonade, soft drink",Goethe B1,Die Limonade ist sehr süß.,,"limonata, meşrubat"
die Linie,"line, route",Goethe B1,Zum Hauptbahnhof können Sie mit der Linie 8 fahren.,,"hat, çizgi"
links,"left, on the left",Goethe B1,An der Kreuzung müssen Sie nach links abbiegen.,,"sol, solda"
link-,left (adjective),Goethe B1,Er hat sich das linke Bein gebrochen.,,sol (sıfat)
die Lippe,lip,Goethe B1,Meine Lippen sind ganz trocken.,,dudak
die Liste,list,Goethe B1,Mach doch eine Einkaufsliste.,,liste
die Literatur,literature,Goethe B1,Ich interessiere mich für Literatur.,,edebiyat
loben,to praise,Goethe B1,Der Lehrer hat mich heute gelobt.,,övmek
das Loch,hole,Goethe B1,Ich habe ein Loch im Zahn.,,delik
locker,"loose, relaxed, casual",Goethe B1,Lassen Sie bitte die Arme ganz locker.,,"gevşek, rahat"
der Löffel,spoon,Goethe B1,"Bitte, bringen Sie mir einen Löffel.",,kaşık
der Lohn,"wage, salary",Goethe B1,Sie bekommen Ihren Lohn immer am Ende des Monats.,,"ücret, maaş"
sich lohnen,to be worth it,Goethe B1,Für drei Tage zu meinen Eltern fahren lohnt sich nicht.,,"değmek, kâr etmek"
das Lokal,"restaurant, pub",Goethe B1,Gibt es hier in der Nähe ein gemütliches Lokal?,,"lokanta, restoran"
los / los-,"go!, loose, away",Goethe B1,Los! Beeilt euch!,,"haydi, kopmak"
losfahren,"to set off, depart",Goethe B1,Wir fahren um 8 Uhr los.,,"yola çıkmak, hareket etmek"
löschen,"to delete, extinguish",Goethe B1,Du kannst die Datei löschen.,,"silmek, söndürmek"
lösen,"to solve, loosen",Goethe B1,Wir müssen dieses Problem lösen.,,çözmek
die Lösung,solution,Goethe B1,Das ist die beste Lösung.,,çözüm
die Luft,air,Goethe B1,"Oh, hier ist aber schlechte Luft.",,hava
lügen,"to lie, tell a lie",Goethe B1,Du sollst nicht lügen.,,yalan söylemek
die Lüge,"lie, untruth",Goethe B1,Das ist eine Lüge!,,yalan
die Lust,"desire, mood, enjoyment",Goethe B1,Ich habe keine Lust zu grillen.,,"istek, arzu"
lustig,"funny, amusing",Goethe B1,Ich habe einen lustigen Film gesehen.,,"komik, eğlenceli"
machen,"to make, do",Goethe B1,Was machst du am Wochenende?,,yapmak
das Mädchen,girl,Goethe B1,Familie Kurz hat zwei Mädchen und einen Jungen.,,kız çocuk
das Magazin,magazine,Goethe B1,Jugendliche lesen dieses Magazin gern.,,dergi
der Magen,stomach,Goethe B1,Ich habe Magenschmerzen.,,mide
mager,"lean, thin, low-fat",Goethe B1,Bitte 1 kg mageres Fleisch.,,"yağsız, zayıf"
die Mahlzeit,meal,Goethe B1,Die Tropfen bitte immer nach den Mahlzeiten einnehmen.,,"öğün, yemek"
die Mahnung,"reminder, warning letter",Goethe B1,"Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.",,"hatırlatma, ihtar"
das Mal,"time, occasion",Goethe B1,Das machen wir nächstes Mal.,,"sefer, kez"
die Marmelade / die Konfitüre,jam,Goethe B1,Bring bitte noch ein Glas Marmelade mit.,,reçel
die Maschine,machine,Goethe B1,Ich habe eine neue Kaffeemaschine.,,makine
malen,"to paint, draw",Goethe B1,Das Bild hat mein Vater gemalt.,,"boyamak, resim yapmak"
der Maler / die Malerin,painter,Goethe B1,Wir haben die Maler im Haus.,,"boyacı, ressam"
man,"one, you, people (generic)",Goethe B1,Wie schreibt man das?,,"insan, kişi (genel)"
manch-,"some, many a",Goethe B1,Manche Nachbarn sind unfreundlich.,,"bazı, kimi"
das Material,material,Goethe B1,Aus welchem Material ist der Schrank?,,malzeme
die Matura,high school diploma (AT/CH),Goethe B1,Meine Tochter hat gerade die Matura gemacht.,,lise diploması (Avusturya/İsviçre)
die Mauer,wall (freestanding),Goethe B1,Die Kinder sind über die Mauer geklettert.,,duvar (bağımsız)
maximal,"maximum, at most",Goethe B1,Wie lange braucht ein Brief? – Maximal zwei Tage.,,"en fazla, maksimum"
manchmal,sometimes,Goethe B1,Manchmal gehe ich mit meiner Frau ins Café.,,bazen
der Mangel,"shortage, lack, deficiency",Goethe B1,In dieser Stadt gibt es einen großen Mangel an Wohnungen.,,"eksiklik, kıtlık"
der Mechaniker / die Mechanikerin,mechanic,Goethe B1,Das kann nur ein Mechaniker reparieren.,,"tamirci, mekanik"
die Medien,media,Goethe B1,Umweltschutz ist in den Medien ein großes Thema.,,"medya, basın"
das Medikament,"medication, medicine",Goethe B1,Dieses Medikament gibt es nur auf Rezept.,,ilaç
die Medizin,medicine (science/medication),Goethe B1,Du musst noch deine Medizin nehmen.,,"tıp, ilaç"
das Meer,"sea, ocean",Goethe B1,Wir machen immer Urlaub am Meer.,,deniz
das Mehl,flour,Goethe B1,Ist noch genug Mehl da?,,un
mehr,more,Goethe B1,Ich habe diesmal mehr gelernt.,,daha fazla
mehrere,"several, a few",Goethe B1,Ich habe mehrere Leute gefragt.,,"birkaç, çeşitli"
die Mehrheit,majority,Goethe B1,Die Mehrheit der Menschen in Deutschland besitzt ein Handy.,,çoğunluk
markieren,"to mark, highlight",Goethe B1,Ich markiere Ihnen auf dem Plan den Weg.,,işaretlemek
der Markt,market,Goethe B1,Ich gehe heute auf den Markt.,,"pazar, çarşı"
die Mehrwertsteuer,"VAT, value added tax",Goethe B1,Die Mehrwertsteuer beträgt 20 %.,,"KDV, katma değer vergisi"
meinen,"to think, mean",Goethe B1,Was meinst du?,,"düşünmek, demek istemek"
meinetwegen,"as far as I'm concerned, for my sake",Goethe B1,Meinetwegen kannst du heute das Auto haben.,,"bence, benim için"
die Meinung,opinion,Goethe B1,"Ich bin der Meinung, dass du recht hast.",,"görüş, fikir"
meist- / die meisten,most,Goethe B1,Das Meiste verstehe ich.,,"çoğu, büyük kısmı"
meist(ens),"mostly, usually",Goethe B1,Meistens trinke ich zum Frühstück nur einen Kaffee.,,genellikle
der Meister / die Meisterin,"master, champion",Goethe B1,Dann frag doch den Meister.,,"usta, şampiyon"
melden,"to report, answer (phone)",Goethe B1,Es meldet sich niemand.,,"bildirmek, aramayı yanıtlamak"
die Meldung,"report, announcement",Goethe B1,Hast du die Meldung im Radio gehört?,,"haber, rapor"
die Menge,"quantity, amount, crowd",Goethe B1,"Diesen Preis gibt es nur, wenn Sie große Mengen kaufen.",,"miktar, kalabalık"
die Mensa,university cafeteria,Goethe B1,Ich esse fast jeden Tag in der Mensa.,,yemekhane (üniversite)
der Mensch,"person, human being",Goethe B1,Die Menschen sind hier ein bisschen anders.,,insan
menschlich,"human, humane",Goethe B1,Fehler zu machen ist menschlich.,,"insani, insan"
das Menü,"set meal, menu",Goethe B1,"Nimm doch das Menü, das sieht gut aus.",,"menü, set yemek"
merken,"to notice, realize",Goethe B1,"Ich habe nicht gemerkt, dass es schon so spät ist.",,fark etmek
merkwürdig,"strange, odd",Goethe B1,Das ist eine merkwürdige Geschichte.,,"tuhaf, garip"
die Messe,"trade fair, mass",Goethe B1,Kommst du mit zur Automobilmesse?,,"fuar, ayin"
messen,to measure,Goethe B1,Haben Sie schon Fieber gemessen?,,ölçmek
das Messer,knife,Goethe B1,Das Messer schneidet nicht gut.,,bıçak
das Metall,metal,Goethe B1,Dieser Tisch hier ist ganz aus Metall.,,metal
die Methode,method,Goethe B1,"Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?",,yöntem
die Metropole,"metropolis, major city",Goethe B1,Berlin und Wien sind Metropolen.,,"metropol, büyük şehir"
der Metzger / die Metzgerin,butcher,Goethe B1,Dieser Metzger hat sehr gute Wurst.,,kasap
mieten,"to rent, hire",Goethe B1,Wir haben die Wohnung für drei Jahre gemietet.,,kiralamak
die Miete,rent,Goethe B1,Unsere Miete ist sehr hoch.,,kira
der Mieter / die Mieterin,"tenant, renter",Goethe B1,Sie hat heute neue Mieter gefunden.,,kiracı
der Migrant / die Migrantin,migrant,Goethe B1,Viele Migranten kommen aus Osteuropa.,,göçmen
die Migration,migration,Goethe B1,Gestern gab es eine Diskussion zum Thema Migration.,,göç
die Milch,milk,Goethe B1,Stellst du bitte die Milch in den Kühlschrank?,,süt
mild,"mild, gentle",Goethe B1,"Möchten Sie die Soße scharf? – Nein, bitte ganz mild.",,"hafif, yumuşak"
die Minderheit,minority,Goethe B1,Frauen sind in unserer Firma in der Minderheit.,,azınlık
mindestens,at least,Goethe B1,Ein guter Fernseher kostet mindestens 500 Euro.,,en az
das Mineralwasser,mineral water,Goethe B1,Kann ich bitte ein Mineralwasser haben?,,maden suyu
minimal,"minimal, minimum",Goethe B1,Da ist nur ein minimaler Unterschied.,,"en az, minimal"
mischen,"to mix, blend",Goethe B1,Ich möchte ein gemischtes Eis mit Sahne.,,karıştırmak
miss-,"mis- (prefix, failure/error)",Goethe B1,Die Konferenz war ein Misserfolg.,,"yanlış-, başarısız-"
mit,"with, along",Goethe B1,Ich gehe heute Abend mit Maria aus.,,"ile, beraber"
der Mitarbeiter / die Mitarbeiterin,"employee, colleague",Goethe B1,Unsere Firma hat sieben Mitarbeiter.,,"çalışan, işgören"
miteinander,"with each other, together",Goethe B1,Sprechen Sie bitte miteinander.,,birbirleriyle
das Mitglied,member,Goethe B1,Für Mitglieder ist der Eintritt gratis.,,üye
die Mitte,"middle, center",Goethe B1,Wo möchten Sie sitzen? – In der Mitte.,,"orta, merkez"
mitteilen,"to inform, notify",Goethe B1,Den Prüfungstermin teilen wir Ihnen noch mit.,,"bildirmek, iletmek"
das Mittel,"remedy, means",Goethe B1,Haben Sie ein Mittel gegen Magenschmerzen?,,"çare, araç"
mitten,"in the middle of, amidst",Goethe B1,Wir haben eine Wohnung mitten in der Stadt.,,ortasında
mittler-,"middle, medium, intermediate",Goethe B1,In den mittleren Reihen sind noch Plätze frei.,,"orta, ortadaki"
mittlerweile,"meanwhile, by now",Goethe B1,Mittlerweile habe ich mich daran gewöhnt.,,"bu arada, artık"
das Möbel,furniture (piece),Goethe B1,Wir haben uns neue Möbel gekauft.,,mobilya
möbliert,furnished,Goethe B1,Ich suche ein möbliertes Zimmer.,,mobilyalı
möchten,would like to,Goethe B1,Möchtest du auch einen Kaffee?,,istemek (kibar)
mobil / Mobil-,mobile,Goethe B1,Mit dem Fahrrad bin ich in der Stadt sehr mobil.,,"mobil, hareketli"
die Mobilbox,voicemail,Goethe B1,Ich habe zwei Nachrichten auf meiner Mobilbox.,,sesli mesaj kutusu
die Mobilität,mobility,Goethe B1,Sprachen zu lernen fördert die Mobilität.,,"hareketlilik, mobilite"
das Mobiltelefon,mobile phone,Goethe B1,Haben Sie ein Mobiltelefon?,,cep telefonu
die Mode,"fashion, trend",Goethe B1,Wie findest du die neue Mode?,,moda
das Modell,model,Goethe B1,Dieses Modell gefällt mir nicht.,,model
modern,modern,Goethe B1,Die Wohnung ist modern eingerichtet.,,modern
mögen,"to like, may",Goethe B1,Ich mag keinen Reis.,,"sevmek, -mak istemek"
möglich,possible,Goethe B1,Das ist leider nicht möglich.,,"mümkün, olası"
die Möglichkeit,"possibility, option",Goethe B1,Da gibt es mehrere Möglichkeiten.,,"olasılık, imkân"
möglichst,as … as possible,Goethe B1,Sagen Sie mir bitte möglichst bald Bescheid.,,"olabildiğince, mümkünse"
die Möhre,carrot (German),Goethe B1,Hasen fressen gern Möhren.,,havuç (Almanya)
der Moment,moment,Goethe B1,Warten Sie bitte einen Moment.,,"an, moment"
der Mond,moon,Goethe B1,Bei Vollmond kann ich nicht schlafen.,,ay
der Monitor,"monitor, screen",Goethe B1,Ich habe mir einen größeren Monitor gekauft.,,"monitör, ekran"
der Motor,"engine, motor",Goethe B1,Der Motor ist kaputt.,,motor
das Motorrad,motorcycle,Goethe B1,Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.,,motosiklet
müde,"tired, sleepy",Goethe B1,Ich bin müde. Ich gehe schlafen.,,"yorgun, uykulu"
die Mühe,"effort, trouble",Goethe B1,Vielen Dank für Ihre Mühe.,,"emek, zahmet"
der Müll,"garbage, rubbish",Goethe B1,Bringst du bitte noch den Müllsack raus?,,çöp
die Müllabfuhr,garbage collection,Goethe B1,Die Müllabfuhr kommt zweimal pro Woche.,,çöp toplama
die Mülltonne,"trash can, garbage bin",Goethe B1,Die Mülltonne ist voll.,,çöp kutusu
der Mund,mouth,Goethe B1,Bitte machen Sie mal den Mund auf.,,ağız
mündlich,"oral, verbal",Goethe B1,Die mündliche Prüfung ist erst nächste Woche.,,sözlü
die Münze,coin,Goethe B1,Der Automat nimmt nur Münzen.,,madeni para
das Museum,museum,Goethe B1,Wir waren mit unserer Klasse im Museum.,,müze
die Musik,music,Goethe B1,Wie findest du die Musik?,,müzik
musikalisch,musical,Goethe B1,Sie ist sehr musikalisch.,,"müzikal, müzikten anlayan"
der Musiker / die Musikerin,musician,Goethe B1,Mein Bruder möchte Musiker werden.,,müzisyen
der Muskel,muscle,Goethe B1,Im Fitness-Studio trainieren wir unsere Muskeln.,,kas
das Müsli,muesli,Goethe B1,Zum Frühstück gibt es Müsli mit Obst.,,müsli
müssen,"must, to have to",Goethe B1,Wie lange müssen Sie arbeiten?,,"zorunda olmak, -meli"
der Mut,courage,Goethe B1,Man braucht viel Mut.,,cesaret
mutig,"brave, courageous",Goethe B1,Es war sehr mutig von dir.,,cesur
die Mutter,mother,Goethe B1,Meine Mutter heißt Klara.,,anne
nach,"after, to (city)",Goethe B1,Ich fahre morgen nach Hamburg.,,"sonra, -e doğru"
der Nachbar / die Nachbarin,neighbor,Goethe B1,Meine neue Nachbarin ist sehr nett.,,komşu
nachdem,after (conjunction),Goethe B1,"Nachdem wir gegessen hatten, sind wir spazieren gegangen.",,sonra (bağlaç)
nachdenken,"to think about, reflect",Goethe B1,Ich muss nachdenken.,,"düşünmek, kafa yormak"
die Nachfrage,"demand, inquiry",Goethe B1,Die Nachfrage für dieses Produkt ist groß.,,"talep, soru"
nachher,"afterwards, later",Goethe B1,Ich rufe nachher nochmal an.,,"sonra, daha sonra"
die Nachhilfe,"tutoring, extra lessons",Goethe B1,Der Schüler braucht Nachhilfe in Mathematik.,,özel ders
die Nachricht,"news, message",Goethe B1,Ich habe eine gute Nachricht für Sie.,,"haber, mesaj"
nachschlagen,to look up (in dictionary),Goethe B1,Das musst du im Wörterbuch nachschlagen.,,sözlükte bakmak
die Nachspeise,dessert (AT/CH),Goethe B1,Nach dem Essen gab es noch eine Nachspeise.,,tatlı (Avusturya/İsviçre)
nächst-,"next, nearest",Goethe B1,Wo ist hier die nächste Apotheke?,,"en yakın, sonraki"
der Nachteil,disadvantage,Goethe B1,Einen Nachteil hat die Wohnung.,,"dezavantaj, sakınca"
der Nachwuchs,"offspring, next generation",Goethe B1,Der Nachwuchs bei Forschern soll gefördert werden.,,"genç nesil, döl"
die Nadel,needle,Goethe B1,Hast du eine Nadel für mich?,,iğne
der Nagel,nail,Goethe B1,Kannst du mir den Nagel in die Wand schlagen?,,çivi
nah(e),"near, close",Goethe B1,"Das ist ganz nah, nur zwei Minuten von hier.",,yakın
die Nähe,"vicinity, nearness",Goethe B1,Die Post ist ganz in der Nähe vom Bahnhof.,,"yakınlık, çevre"
nähen,to sew,Goethe B1,Meine Mutter näht ihre Kleider selbst.,,dikmek
sich nähern,to approach,Goethe B1,Er nähert sich dem Unfallort.,,yaklaşmak
das Nahrungsmittel,"food, foodstuff",Goethe B1,In diesen Ländern fehlen vor allem Nahrungsmittel.,,gıda maddesi
der Name,name,Goethe B1,Wie ist Ihr Name?,,"isim, ad"
der Familienname,"last name, surname",Goethe B1,Ludin ist mein Familienname.,,soyadı
der Vorname,first name,Goethe B1,Mein Vorname ist Thomas.,,ad
nämlich,"namely, you see, actually",Goethe B1,Ich habe nämlich noch einen Termin beim Zahnarzt.,,"yani, çünkü"
die Nase,nose,Goethe B1,Haben Sie Nasentropfen?,,burun
nass,wet,Goethe B1,Ich bin ganz nass geworden.,,ıslak
national / National-,national,Goethe B1,Das ist ein nationaler Wettbewerb.,,"ulusal, milli"
die Natur,nature,Goethe B1,Ich bin gern draußen in der Natur.,,doğa
natürlich,"of course, natural",Goethe B1,Natürlich helfen wir dir.,,"tabii ki, doğal"
der Nebel,"fog, mist",Goethe B1,Wegen Nebels konnten wir nicht in Frankfurt landen.,,sis
neblig,foggy,Goethe B1,Fahr vorsichtig! Es ist neblig.,,sisli
neben,"next to, beside",Goethe B1,Neben mir ist noch ein Platz frei.,,yanında
nebenan,next door,Goethe B1,"Das ist José, er wohnt nebenan.",,yan tarafta
nebenbei,"on the side, incidentally",Goethe B1,Nebenbei arbeitet er in einer Kneipe.,,"yan iş olarak, bu arada"
der Neffe,nephew,Goethe B1,Meine Neffen sind drei und fünf Jahre alt.,,yeğen (erkek)
negativ,negative,Goethe B1,Du solltest nicht alles negativ sehen.,,"olumsuz, negatif"
nehmen,to take,Goethe B1,Ich nehme einen Salat.,,almak
nein,no,Goethe B1,"Noch ein Bier? – Nein, danke.",,hayır
nennen,"to name, call",Goethe B1,Alle nennen ihn Alex.,,"adlandırmak, çağırmak"
der Nerv,nerve,Goethe B1,Er leidet an einer Nervenkrankheit.,,sinir
nervös,nervous,Goethe B1,Das Warten macht mich ganz nervös.,,"gergin, sinirli"
nett,"nice, kind",Goethe B1,Die Leute sind hier sehr nett.,,"nazik, hoş"
das Netz,"net, network",Goethe B1,Bitte bring ein Netz Orangen.,,ağ
das Netzwerk,network,Goethe B1,Soziale Netzwerke sind wichtig.,,"ağ, network"
neu,new,Goethe B1,Mein Wagen ist noch ganz neu.,,yeni
die Neuigkeit,"news, piece of news",Goethe B1,In dieser Sache gibt es keine Neuigkeiten.,,"haber, yenilik"
neugierig,"curious, nosy",Goethe B1,Die Nachbarn sind ziemlich neugierig.,,meraklı
neulich,recently,Goethe B1,Ich war neulich bei der Bank.,,geçenlerde
